time,A:gene off,A:gene on,A:mRNA,A:protein
0.412177,3,1,1,93
0.55165,3,1,1,94
0.266744,3,1,2,94
0.19943,3,1,3,94
0.135192,3,1,3,95
0.0278972,3,1,4,95
0.0308496,3,1,5,95
0.684482,3,1,5,96
0.0925075,3,1,6,96
0.251137,3,1,7,96
0.138517,3,1,8,96
0.0344297,3,1,9,96
0.110712,3,1,10,96
0.120389,3,1,10,97
0.0126459,3,1,11,97
0.0808759,3,1,11,98
0.258081,3,1,11,97
0.0694345,3,1,12,97
0.0994231,3,1,13,97
0.0528784,3,1,13,98
0.0527371,3,1,14,98
0.207896,3,1,13,98
0.0783743,3,1,13,99
0.196742,3,1,13,100
0.0929132,3,1,13,101
0.266854,3,1,13,102
0.0179532,3,1,13,103
0.0798117,3,1,13,104
0.0536446,3,1,14,104
0.156072,3,1,14,105
0.0272533,3,1,14,106
0.0337667,3,1,14,107
0.252744,3,1,14,108
0.0534192,3,1,14,109
0.0954025,3,1,13,109
0.151717,4,0,13,109
0.1783,4,0,12,109
0.258428,4,0,12,110
0.430742,4,0,12,111
0.210478,4,0,12,112
0.0781492,4,0,12,113
0.366106,4,0,12,112
0.25489,4,0,12,113
0.0147171,4,0,12,114
0.237675,4,0,12,115
0.00585063,4,0,11,115
0.0973465,4,0,10,115
0.273458,4,0,10,116
0.299413,4,0,10,117
0.0276784,4,0,9,117
0.208895,4,0,9,118
0.0707964,4,0,8,118
1.22504,4,0,7,118
0.343791,4,0,7,119
0.427889,4,0,7,120
1.32217,4,0,7,121
0.350906,4,0,7,122
0.0338456,4,0,7,123
0.19291,4,0,7,122
0.193494,4,0,6,122
0.327399,4,0,6,123
